X,SimNet_simple.PIM2.ppp[0].queue/queueLength:vector
17.055925232,1
17.058980192,0
17.155927232,1
17.158980192,0
17.200024192,1
17.200944064,0
17.255966232,1
17.258980192,0
17.355921232,1
17.358980192,0
17.400024192,1
17.400944064,0
17.455926232,1
17.458980192,0
17.555932232,1
17.558980192,0
17.600024192,1
17.600944064,0
17.656177232,1
17.658980192,0
17.755930232,1
17.758980192,0
17.800024192,1
17.800944064,0
17.855929232,1
17.858980192,0
17.955916232,1
17.958980192,0
18.000024192,1
18.000944064,0
18.055955232,1
18.058980192,0
18.155933232,1
18.158980192,0
18.200024192,1
18.200944064,0
18.255925232,1
18.258980192,0
18.355085232,1
18.358980192,0
18.400024192,1
18.400944064,0
18.455937232,1
18.458980192,0
18.555940232,1
18.558980192,0
18.600024192,1
18.600944064,0
18.655913232,1
18.658980192,0
18.755919232,1
18.758980192,0
18.800024192,1
18.800944064,0
18.855927232,1
18.858980192,0
18.955932232,1
18.958980192,0
19.000024192,1
19.000944064,0
19.056009232,1
19.058980192,0
19.155924232,1
19.158980192,0
19.200024192,1
19.200944064,0
19.255930232,1
19.258980192,0
19.355924232,1
19.358980192,0
19.400024192,1
19.400944064,0
19.455905232,1
19.458980192,0
19.555922232,1
19.558980192,0
19.600024192,1
19.600944064,0
19.655940232,1
19.658980192,0
19.755928232,1
19.758980192,0
19.800024192,1
19.800944064,0
19.855053232,1
19.858980192,0
19.955923232,1
19.958980192,0
20.000024192,1
20.000944064,0
20.055922232,1
20.058980192,0
20.155923232,1
20.158980192,0
20.200024192,1
20.200944064,0
20.255115232,1
20.258980192,0
20.355921232,1
20.358980192,0
20.400024192,1
20.400944064,0
20.455941232,1
20.458980192,0
20.555932232,1
20.558980192,0
20.600024192,1
20.600944064,0
20.655953232,1
20.658980192,0
20.755908232,1
20.758980192,0
20.800024192,1
20.800944064,0
20.855829232,1
20.858980192,0
20.955933232,1
20.958980192,0
21.000024192,1
21.000944064,0
21.055153232,1
21.058980192,0
21.155923232,1
21.158980192,0
21.200024192,1
21.200944064,0
21.255925232,1
21.258980192,0
21.355918232,1
21.358980192,0
21.400024192,1
21.400944064,0
21.455812232,1
21.458980192,0
21.555931232,1
21.558980192,0
21.600024192,1
21.600944064,0
21.655814232,1
21.658980192,0
21.756134232,1
21.758980192,0
21.800024192,1
21.800944064,0
21.855928232,1
21.858980192,0
21.955939232,1
21.958980192,0
22.000024192,1
22.000944064,0
22.055917232,1
22.058980192,0
22.155917232,1
22.158980192,0
22.200024192,1
22.200944064,0
22.255933232,1
22.258980192,0
22.355937232,1
22.358980192,0
22.400024192,1
22.400944064,0
22.456173232,1
22.458980192,0
22.555828232,1
22.558980192,0
22.600024192,1
22.600944064,0
22.655941232,1
22.658980192,0
22.755928232,1
22.758980192,0
22.800024192,1
22.800944064,0
22.856094232,1
22.858980192,0
22.955922232,1
22.958980192,0
23.000024192,1
23.000944064,0
23.055929232,1
23.058980192,0
23.155937232,1
23.158980192,0
23.200024192,1
23.200944064,0
23.255909232,1
23.258980192,0
23.355883232,1
23.358980192,0
23.400024192,1
23.400944064,0
23.455881232,1
23.458980192,0
23.555885232,1
23.558980192,0
23.600024192,1
23.600944064,0
23.655884232,1
23.658980192,0
23.755976232,1
23.758980192,0
23.800024192,1
23.800944064,0
23.855132232,1
23.858980192,0
23.955923232,1
23.958980192,0
24.000024192,1
24.000944064,0
24.055944232,1
24.058980192,0
24.155928232,1
24.158980192,0
24.200024192,1
24.200944064,0
24.256065232,1
24.258980192,0
24.355916232,1
24.358980192,0
24.400024192,1
24.400944064,0
24.455935232,1
24.458980192,0
24.555813232,1
24.558980192,0
24.600024192,1
24.600944064,0
24.655995232,1
24.658980192,0
24.755909232,1
24.758980192,0
24.800024192,1
24.800944064,0
24.855931232,1
24.858980192,0
24.955878232,1
24.958980192,0
25.000024192,1
25.000944064,0
25.055948232,1
25.058980192,0
25.155121232,1
25.158980192,0
25.200024192,1
25.200944064,0
25.255931232,1
25.258980192,0
25.355931232,1
25.358980192,0
25.400024192,1
25.400944064,0
25.455927232,1
25.458980192,0
25.556054232,1
25.558980192,0
25.600024192,1
25.600944064,0
25.655916232,1
25.658980192,0
25.755854232,1
25.758980192,0
25.800024192,1
25.800944064,0
25.855880232,1
